1730928581 - [INFO][LOGGER] Logger Initialized
1730928581 - [INFO][LOADER] Attempting to loading 2 APIs...
1730928581 - [INFO][APP] Loading UI
1730928581 - [INFO][LOADER] Loading NexusMods (1/2)
1730928581 - [INFO][APP] Creating Viewport
1730928581 - [INFO][LOADER] NexusMods API Required Auth/Login
1730928581 - [INFO][APP] Setting up dearpygui
1730928581 - [INFO][LOADER] Logged in to NexusMods
1730928581 - [INFO][LOADER] Loading ThunderStore (2/2)
1730928581 - [INFO][THUNDERSTORE] Loading Cache
1730928581 - [INFO][THUNDERSTORE] No cache found! Generating empty cache
1730928581 - [INFO][LOADER] Logged in to ThunderStore
1730928582 - [INFO][THUNDERSTORE] GET | Mod List | Took 1195ms
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Gamers_of_the_Cracked_Emoji | 28f80ccf-284d-4931-b658-67ac4ea63160
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | GeneticVariantsPatch | e71cde7e-82e3-46d6-8220-c5c9b1f2d227
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RemoteVillage | 15508f0d-eba4-45cc-8008-6904fe376d6a
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | MinionMeld | b3ed3771-4830-4d2a-9051-9ecead8d4332
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | LemurFusion | 6acf4804-e1ba-40a5-a4d2-dbb60e8f0c00
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | DLCSpawnPoolFixer | 801c16a0-ab87-47c2-986a-f9630ede5028
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | PlayableBiden | 2f5f1f3c-04e7-4b39-a793-13842acfd5e3
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Endless_Misery | 26fce886-22c0-4352-adff-83d9b368e228
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | LobbyAppearanceImprovements | d534d72e-a7bc-42b2-a260-e28052c0020d
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | BitesOut | 623c0564-5e3a-4523-aa1c-7246679d2967
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | DPSMeter | ece92fc4-e95f-452f-9d05-fe467ab05657
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | JohnnyMod | 41735675-1e51-4630-afb2-b5f286609d5c
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | PoppyMod | e38faa02-9ab2-4369-9c3b-36f830c2ff45
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RiskyStarterPack | 1dee6b00-5e46-48ae-a86d-6f8f1a99c375
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | KeepMySettings | e28d942e-8ae5-4287-8344-5ba80cd2797e
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | SamiraMod | 36ce933a-6856-405b-8e94-aa52bd4969ca
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | ShrineOfDio | 2f690881-f15a-42e4-b2db-f9b62d0c1932
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | LongstandingSolitudeFix | 0a6cb3de-c717-48a1-a6ad-4b63670c2b45
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | ChunkyMode | 53ae037f-1ee4-4410-85be-edaf0a9a3036
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | ObtenModpak | 40444213-c9d4-41ac-a0fe-19a98f6bf8e3
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | MarinoDevSkinPack | 8f821b4b-253a-418d-ad82-c4a97488383f
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | AtsukoSeeker | d93690a7-5505-4782-8543-280439261c9e
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Roomba | 291653a1-952e-4071-ad7b-7c88cc6b2db3
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Yuugi_Mod | 3003337b-3b4d-4f71-a835-2066d0f9e651
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Femgineer | 7375ce2f-77a1-4ac9-8d19-be346ef295c4
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | VanillaArtifactsPlus | 8932383a-f955-4ab7-8c71-130d722ba29f
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | WolfoAlternateSkins | db3b86ee-7b78-451e-acb1-19057ea6a3c8
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | WLoopWeather | 9ed3e60c-e5a4-4948-8d61-d0443de3d3b0
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | LittleGameplayTweaks | 5a826796-f990-45c8-a3fa-ea11196fccbd
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | DebugToolkit | 7224cb26-7448-43ef-86b8-0074e705f929
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | MinersUnleashedRevived | b1ff584c-4bee-41dd-81db-9b52b3ab6baf
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | DescriptiveRainglish | bfc76f2e-9666-46fb-b23e-69cbb9f23311
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | WWIICaptainRevived | c5e49a0f-6885-45dd-bd03-e86bd06b1626
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | HuntressIceNovaRevived | 9f0fdba7-3c62-4aae-a6f0-ae10189c9229
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RoyalEngiRevived | fc5a4f25-3d15-4871-bba3-f4528d3d17b6
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Bomber | 19987f32-3581-44a5-8d3a-6e84f7c24918
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | CrimsonCommanderRevived | 3c6f2adc-6c5c-42a6-93d1-fe762868a2c4
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RexDunestriderRevived | 62238278-be94-47e9-b9be-12bdd301ddd1
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | TronSkinpackRevived | 8170e7c2-f1ae-4d28-9a33-aa240ef92595
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Suppression | 5a40da53-22f5-4699-a8c1-298c6a9c6945
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | UncrustedSandwich | 36d8c02b-8b71-4a4b-8470-68d728a0cc00
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RiskOfPepperoni | 300e41ac-72f1-4554-b7ce-fa52398d5311
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | UnderglowSkinpackRevived | 09956f54-452e-4fa1-b6d5-a8439cf23564
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | CommrandosCommandosRevived | 361431b8-2206-4f30-97ad-0e24716089dd
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | OOPSkinPackRevived | 8191de91-ce81-4dde-9e90-c3bee4dd0e88
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | SexualintercoursebetweentwopersonsofthesamegenderSwept2 | 5ef8eaf3-cbc4-427c-aba3-5c908bff9d22
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | MefiezsSkinpackRevived | a350363d-ad72-4cf4-bd07-9ed8958ade0b
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | TeamSpiritSkinpackRevived | f2b390a3-619d-45d9-8b63-58c963a5ab8f
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | ArtificerMintyReborn | 39615053-0f89-4d9b-8875-c12be8bf8afb
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | ArtificerHalloweenRevived | e186d41f-0b55-46e0-93b0-79841b3627a0
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | WolfoArtifacts | e6722af9-6245-4073-a7ff-5a1e11cd101b
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Aetherium | 937ba844-6f0f-481d-bbf4-3c95f9d94d16
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Shaman | fe26d32d-84cf-4bca-b134-ea8b209ed5a0
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | AceWarbanner | c0dc0608-84ab-4b7f-ab07-8eda573113aa
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | FiguresOfTheDietz | 6e4eb2f7-82b7-4315-9b6a-1f5412c5dc4e
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | JabaMods | 923dde9e-6c1c-4d46-9407-9d5780994f26
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | VanillaVoid | f777adb2-cb47-4b50-96eb-de128e9f473c
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | BurstsOfRain | 59712119-21d2-4e63-8996-547723fbc945
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RiskOfJohn | 9ea65c0d-dcab-44d0-9e34-e2dd1c3607a4
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | ShibasMods | 7349cb99-98f1-4d74-b2ac-b2c415995058
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | ChatTooltips | 3cbf0254-35ad-435e-b7e3-69760530af8d
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | BetterEclipseProgression | 7aa6a1e7-11b3-49ab-8389-3643c0dc6ed0
